Week,Item Name,Category,Ordered Stock,Projected Covers,Stock Left,Season
4,Tanqueray 10,Spirits,46,388,34,Winter
4,Tonic Water,Soft Drinks,33,465,19,Winter
5,Apple Juice,Soft Drinks,35,199,34,Winter
5,Bacardi Blanco,Spirits,26,365,14,Winter
5,Bira Moretti,Beer,17,146,3,Winter
5,Bombay Gin,Spirits,15,412,2,Winter
5,Captain Morgan Spiced Rum,Spirits,25,335,10,Winter
5,Chardonnay,Wine,48,460,35,Winter
5,Coca Cola,Soft Drinks,32,275,30,Winter
5,Coke Zero,Soft Drinks,33,190,31,Winter
5,Cointreau,Spirits,42,360,31,Winter
5,Corona,Beer,45,406,33,Winter
5,Cranberry Juice,Soft Drinks,31,136,16,Winter
5,Dalmore 12,Spirits,8,463,5,Winter
5,Diet Coke,Soft Drinks,29,441,29,Winter
5,Disaronno,Spirits,32,242,23,Winter
5,Havana Club 3,Spirits,29,167,23,Winter
5,Havana Club 7,Spirits,10,310,0,Winter
5,High Commissioner,Spirits,28,490,28,Winter
5,Irn Bru,Soft Drinks,23,387,15,Winter
5,J20,Soft Drinks,26,205,11,Winter
5,Jack Daniels,Spirits,41,266,23,Winter
5,Kahlua,Spirits,47,455,31,Winter
5,Lemonade,Soft Drinks,18,371,0,Winter
5,Light Tonic,Soft Drinks,37,261,32,Winter
5,Limoncello,Spirits,34,329,15,Winter
5,Macallan 12,Spirits,44,417,36,Winter
5,Malbec,Wine,34,357,28,Winter
5,Martini Rosso,Spirits,31,146,18,Winter
5,Merlot,Wine,46,443,34,Winter
5,Moet,Wine,28,157,9,Winter
5,Orange Juice,Soft Drinks,48,240,36,Winter
5,Passoa,Spirits,28,119,19,Winter
5,Peroni,Beer,13,174,4,Winter
5,Pineapple Juice,Soft Drinks,33,394,20,Winter
5,Pink Gin,Spirits,40,321,24,Winter
5,Pinot Grigio,Wine,12,182,0,Winter
5,Prosecco,Wine,44,370,42,Winter
5,Rijoca,Wine,42,459,32,Winter
5,Sauvignon Blanc,Wine,17,499,3,Winter
5,St Germain,Spirits,40,253,28,Winter
5,Tanqueray 10,Spirits,9,387,0,Winter
5,Tonic Water,Soft Drinks,42,233,30,Winter
6,Apple Juice,Soft Drinks,32,224,30,Winter
6,Bacardi Blanco,Spirits,17,341,13,Winter
6,Bira Moretti,Beer,16,405,0,Winter
6,Bombay Gin,Spirits,25,492,9,Winter
6,Captain Morgan Spiced Rum,Spirits,12,113,2,Winter
6,Chardonnay,Wine,39,128,21,Winter
6,Coca Cola,Soft Drinks,24,173,10,Winter
6,Coke Zero,Soft Drinks,18,297,17,Winter
6,Cointreau,Spirits,32,345,27,Winter
6,Corona,Beer,37,390,24,Winter
6,Cranberry Juice,Soft Drinks,46,336,29,Winter
6,Dalmore 12,Spirits,29,264,15,Winter
6,Diet Coke,Soft Drinks,12,388,9,Winter
6,Disaronno,Spirits,26,473,10,Winter
6,Havana Club 3,Spirits,44,449,34,Winter
6,Havana Club 7,Spirits,21,114,15,Winter
6,High Commissioner,Spirits,23,365,20,Winter
6,Irn Bru,Soft Drinks,43,385,26,Winter
6,J20,Soft Drinks,18,347,1,Winter
6,Jack Daniels,Spirits,40,119,33,Winter
6,Kahlua,Spirits,26,467,18,Winter
6,Lemonade,Soft Drinks,25,478,25,Winter
6,Light Tonic,Soft Drinks,8,144,8,Winter
6,Limoncello,Spirits,41,437,29,Winter
6,Macallan 12,Spirits,26,368,17,Winter
6,Malbec,Wine,31,176,13,Winter
6,Martini Rosso,Spirits,17,306,3,Winter
6,Merlot,Wine,30,404,29,Winter
6,Moet,Wine,21,343,4,Winter
6,Orange Juice,Soft Drinks,9,306,0,Winter
6,Passoa,Spirits,27,257,21,Winter
6,Peroni,Beer,44,427,37,Winter
6,Pineapple Juice,Soft Drinks,36,387,27,Winter
6,Pink Gin,Spirits,32,175,13,Winter
6,Pinot Grigio,Wine,5,323,5,Winter
6,Prosecco,Wine,37,408,26,Winter
6,Rijoca,Wine,43,331,26,Winter
6,Sauvignon Blanc,Wine,38,349,29,Winter
6,St Germain,Spirits,33,317,20,Winter
6,Tanqueray 10,Spirits,10,237,0,Winter
6,Tonic Water,Soft Drinks,20,489,20,Winter
7,Apple Juice,Soft Drinks,22,407,7,Winter
7,Bacardi Blanco,Spirits,15,428,0,Winter
7,Bira Moretti,Beer,41,422,36,Winter
7,Bombay Gin,Spirits,31,215,11,Winter
7,Captain Morgan Spiced Rum,Spirits,9,409,0,Winter
7,Chardonnay,Wine,12,111,1,Winter
7,Coca Cola,Soft Drinks,10,329,0,Winter
7,Coke Zero,Soft Drinks,7,113,0,Winter
7,Cointreau,Spirits,8,462,0,Winter
7,Corona,Beer,33,324,22,Winter
7,Cranberry Juice,Soft Drinks,22,239,19,Winter
7,Dalmore 12,Spirits,35,167,26,Winter
7,Diet Coke,Soft Drinks,34,300,14,Winter
7,Disaronno,Spirits,33,115,22,Winter
7,Havana Club 3,Spirits,11,332,1,Winter
7,Havana Club 7,Spirits,26,125,22,Winter
7,High Commissioner,Spirits,30,246,20,Winter
7,Irn Bru,Soft Drinks,37,281,36,Winter
7,J20,Soft Drinks,46,324,44,Winter
7,Jack Daniels,Spirits,27,341,7,Winter
7,Kahlua,Spirits,30,175,12,Winter
7,Lemonade,Soft Drinks,17,496,13,Winter
7,Light Tonic,Soft Drinks,18,310,1,Winter
7,Limoncello,Spirits,39,452,38,Winter
7,Macallan 12,Spirits,21,331,6,Winter
7,Malbec,Wine,7,190,2,Winter
7,Martini Rosso,Spirits,15,483,10,Winter
7,Merlot,Wine,13,270,8,Winter
7,Moet,Wine,20,274,5,Winter
7,Orange Juice,Soft Drinks,26,159,25,Winter
7,Passoa,Spirits,41,207,32,Winter
7,Peroni,Beer,48,254,48,Winter
7,Pineapple Juice,Soft Drinks,19,187,0,Winter
7,Pink Gin,Spirits,24,322,5,Winter
7,Pinot Grigio,Wine,37,411,21,Winter
7,Prosecco,Wine,6,439,0,Winter
7,Rijoca,Wine,23,470,9,Winter
7,Sauvignon Blanc,Wine,18,186,5,Winter
7,St Germain,Spirits,17,128,9,Winter
7,Tanqueray 10,Spirits,41,142,32,Winter
7,Tonic Water,Soft Drinks,12,219,2,Winter
8,Apple Juice,Soft Drinks,40,311,39,Winter
8,Bacardi Blanco,Spirits,18,196,18,Winter
8,Bira Moretti,Beer,8,418,2,Winter
8,Bombay Gin,Spirits,35,277,30,Winter
8,Captain Morgan Spiced Rum,Spirits,5,228,0,Winter
8,Chardonnay,Wine,20,374,17,Winter
8,Coca Cola,Soft Drinks,7,298,5,Winter
8,Coke Zero,Soft Drinks,35,467,17,Winter
8,Cointreau,Spirits,29,193,15,Winter
8,Corona,Beer,24,349,9,Winter
8,Cranberry Juice,Soft Drinks,29,121,9,Winter
8,Dalmore 12,Spirits,16,281,6,Winter
8,Diet Coke,Soft Drinks,15,466,5,Winter
8,Disaronno,Spirits,43,446,23,Winter
8,Havana Club 3,Spirits,11,115,0,Winter
8,Havana Club 7,Spirits,20,351,4,Winter
8,High Commissioner,Spirits,49,125,41,Winter
8,Irn Bru,Soft Drinks,48,101,43,Winter
8,J20,Soft Drinks,24,459,5,Winter
8,Jack Daniels,Spirits,33,267,33,Winter
8,Kahlua,Spirits,16,459,2,Winter
8,Lemonade,Soft Drinks,9,397,0,Winter
8,Light Tonic,Soft Drinks,46,368,38,Winter
8,Limoncello,Spirits,47,131,45,Winter
8,Macallan 12,Spirits,42,235,32,Winter
8,Malbec,Wine,30,220,22,Winter
8,Martini Rosso,Spirits,26,222,18,Winter
8,Merlot,Wine,18,230,16,Winter
8,Moet,Wine,14,185,3,Winter
8,Orange Juice,Soft Drinks,27,363,16,Winter
8,Passoa,Spirits,42,222,37,Winter
8,Peroni,Beer,49,418,31,Winter
8,Pineapple Juice,Soft Drinks,26,318,12,Winter
8,Pink Gin,Spirits,33,390,15,Winter
8,Pinot Grigio,Wine,28,368,25,Winter
8,Prosecco,Wine,38,396,27,Winter
8,Rijoca,Wine,6,349,0,Winter
8,Sauvignon Blanc,Wine,26,255,21,Winter
8,St Germain,Spirits,13,332,0,Winter
8,Tanqueray 10,Spirits,15,387,6,Winter
8,Tonic Water,Soft Drinks,49,263,29,Winter
9,Apple Juice,Soft Drinks,37,269,31,Winter
9,Bacardi Blanco,Spirits,43,126,35,Winter
9,Bira Moretti,Beer,45,303,27,Winter
9,Bombay Gin,Spirits,20,259,12,Winter
9,Captain Morgan Spiced Rum,Spirits,26,208,23,Winter
9,Chardonnay,Wine,47,205,45,Winter
9,Coca Cola,Soft Drinks,17,134,4,Winter
9,Coke Zero,Soft Drinks,30,225,22,Winter
9,Cointreau,Spirits,20,342,20,Winter
9,Corona,Beer,11,189,5,Winter
9,Cranberry Juice,Soft Drinks,22,409,3,Winter
9,Dalmore 12,Spirits,45,173,42,Winter
9,Diet Coke,Soft Drinks,24,342,6,Winter
9,Disaronno,Spirits,38,102,33,Winter
9,Havana Club 3,Spirits,37,373,28,Winter
9,Havana Club 7,Spirits,48,347,46,Winter
9,High Commissioner,Spirits,47,349,45,Winter
9,Irn Bru,Soft Drinks,40,199,40,Winter
9,J20,Soft Drinks,35,182,17,Winter
9,Jack Daniels,Spirits,27,309,26,Winter
9,Kahlua,Spirits,37,392,23,Winter
9,Lemonade,Soft Drinks,36,142,27,Winter
9,Light Tonic,Soft Drinks,42,150,32,Winter
9,Limoncello,Spirits,5,409,0,Winter
9,Macallan 12,Spirits,48,107,31,Winter
9,Malbec,Wine,45,390,38,Winter
9,Martini Rosso,Spirits,39,108,33,Winter
9,Merlot,Wine,21,209,6,Winter
9,Moet,Wine,9,109,0,Winter
9,Orange Juice,Soft Drinks,21,201,12,Winter
9,Passoa,Spirits,18,360,15,Winter
9,Peroni,Beer,6,182,1,Winter
9,Pineapple Juice,Soft Drinks,24,434,11,Winter
9,Pink Gin,Spirits,50,293,49,Winter
9,Pinot Grigio,Wine,15,236,1,Winter
9,Prosecco,Wine,21,474,18,Winter
9,Rijoca,Wine,34,335,31,Winter
9,Sauvignon Blanc,Wine,14,463,11,Winter
9,St Germain,Spirits,31,378,15,Winter
9,Tanqueray 10,Spirits,32,429,17,Winter
9,Tonic Water,Soft Drinks,44,116,37,Winter
10,Apple Juice,Soft Drinks,32,177,26,Winter
10,Bacardi Blanco,Spirits,24,241,8,Winter
10,Bira Moretti,Beer,25,196,14,Winter
10,Bombay Gin,Spirits,43,487,40,Winter
10,Captain Morgan Spiced Rum,Spirits,9,343,9,Winter
10,Chardonnay,Wine,9,333,2,Winter
10,Coca Cola,Soft Drinks,24,100,17,Winter
10,Coke Zero,Soft Drinks,28,440,16,Winter
10,Cointreau,Spirits,21,452,14,Winter
10,Corona,Beer,47,274,38,Winter
10,Cranberry Juice,Soft Drinks,47,238,27,Winter
10,Dalmore 12,Spirits,48,367,29,Winter
10,Diet Coke,Soft Drinks,8,472,3,Winter
10,Disaronno,Spirits,46,159,35,Winter
10,Havana Club 3,Spirits,26,306,17,Winter
10,Havana Club 7,Spirits,17,132,0,Winter
10,High Commissioner,Spirits,26,358,7,Winter
10,Irn Bru,Soft Drinks,42,390,38,Winter
10,J20,Soft Drinks,26,148,24,Winter
10,Jack Daniels,Spirits,31,222,13,Winter
10,Kahlua,Spirits,14,119,0,Winter
10,Lemonade,Soft Drinks,32,318,13,Winter
10,Light Tonic,Soft Drinks,13,350,13,Winter
10,Limoncello,Spirits,24,334,15,Winter
10,Macallan 12,Spirits,17,484,0,Winter
10,Malbec,Wine,21,453,5,Winter
10,Martini Rosso,Spirits,42,499,23,Winter
10,Merlot,Wine,48,221,33,Winter
10,Moet,Wine,26,233,6,Winter
10,Orange Juice,Soft Drinks,20,320,4,Winter
10,Passoa,Spirits,50,167,38,Winter
10,Peroni,Beer,16,477,5,Winter
10,Pineapple Juice,Soft Drinks,38,250,18,Winter
10,Pink Gin,Spirits,8,302,3,Winter
10,Pinot Grigio,Wine,40,321,26,Winter
10,Prosecco,Wine,21,288,15,Winter
10,Rijoca,Wine,16,496,0,Winter
10,Sauvignon Blanc,Wine,17,368,0,Winter
10,St Germain,Spirits,29,167,22,Winter
10,Tanqueray 10,Spirits,40,266,23,Winter
10,Tonic Water,Soft Drinks,42,277,39,Winter
11,Apple Juice,Soft Drinks,31,239,17,Winter
11,Bacardi Blanco,Spirits,24,228,12,Winter
11,Bira Moretti,Beer,33,432,21,Winter
11,Bombay Gin,Spirits,11,354,0,Winter
11,Captain Morgan Spiced Rum,Spirits,19,325,8,Winter
11,Chardonnay,Wine,38,416,22,Winter
11,Coca Cola,Soft Drinks,43,152,37,Winter
11,Coke Zero,Soft Drinks,39,500,37,Winter
11,Cointreau,Spirits,27,217,22,Winter
11,Corona,Beer,46,402,36,Winter
11,Cranberry Juice,Soft Drinks,7,306,7,Winter
11,Dalmore 12,Spirits,46,171,26,Winter
11,Diet Coke,Soft Drinks,13,287,0,Winter
11,Disaronno,Spirits,32,193,20,Winter
11,Havana Club 3,Spirits,15,147,0,Winter
11,Havana Club 7,Spirits,36,497,31,Winter
11,High Commissioner,Spirits,13,358,0,Winter
11,Irn Bru,Soft Drinks,24,240,15,Winter
11,J20,Soft Drinks,41,326,32,Winter
11,Jack Daniels,Spirits,28,436,21,Winter
11,Kahlua,Spirits,32,409,15,Winter
11,Lemonade,Soft Drinks,6,171,0,Winter
11,Light Tonic,Soft Drinks,27,297,15,Winter
11,Limoncello,Spirits,45,113,41,Winter
11,Macallan 12,Spirits,34,159,19,Winter
11,Malbec,Wine,27,156,16,Winter
11,Martini Rosso,Spirits,26,297,12,Winter
11,Merlot,Wine,46,500,45,Winter
11,Moet,Wine,6,397,0,Winter
11,Orange Juice,Soft Drinks,30,498,20,Winter
11,Passoa,Spirits,32,288,23,Winter
11,Peroni,Beer,50,344,49,Winter
11,Pineapple Juice,Soft Drinks,37,179,31,Winter
11,Pink Gin,Spirits,49,302,30,Winter
11,Pinot Grigio,Wine,46,495,38,Winter
11,Prosecco,Wine,19,353,16,Winter
11,Rijoca,Wine,29,401,19,Winter
11,Sauvignon Blanc,Wine,23,199,10,Winter
11,St Germain,Spirits,46,250,34,Winter
11,Tanqueray 10,Spirits,49,227,44,Winter
11,Tonic Water,Soft Drinks,23,106,14,Winter
12,Apple Juice,Soft Drinks,35,137,28,Winter
12,Bacardi Blanco,Spirits,39,382,36,Winter
12,Bira Moretti,Beer,48,392,31,Winter
12,Bombay Gin,Spirits,20,196,10,Winter
12,Captain Morgan Spiced Rum,Spirits,41,172,25,Winter
12,Chardonnay,Wine,14,278,10,Winter
12,Coca Cola,Soft Drinks,49,356,48,Winter
12,Coke Zero,Soft Drinks,35,132,31,Winter
12,Cointreau,Spirits,26,188,7,Winter
12,Corona,Beer,6,375,0,Winter
12,Cranberry Juice,Soft Drinks,5,210,0,Winter
12,Dalmore 12,Spirits,16,361,0,Winter
12,Diet Coke,Soft Drinks,11,478,3,Winter
12,Disaronno,Spirits,9,333,6,Winter
12,Havana Club 3,Spirits,27,294,21,Winter
12,Havana Club 7,Spirits,26,194,21,Winter
12,High Commissioner,Spirits,38,458,22,Winter
12,Irn Bru,Soft Drinks,7,278,0,Winter
12,J20,Soft Drinks,47,138,41,Winter
12,Jack Daniels,Spirits,43,415,40,Winter
12,Kahlua,Spirits,33,462,30,Winter
12,Lemonade,Soft Drinks,18,428,18,Winter
12,Light Tonic,Soft Drinks,9,192,4,Winter
12,Limoncello,Spirits,14,136,6,Winter
12,Macallan 12,Spirits,24,161,5,Winter
12,Malbec,Wine,14,434,0,Winter
12,Martini Rosso,Spirits,30,424,14,Winter
12,Merlot,Wine,12,141,0,Winter
12,Moet,Wine,34,228,25,Winter
12,Orange Juice,Soft Drinks,37,337,22,Winter
12,Passoa,Spirits,39,456,34,Winter
12,Peroni,Beer,12,195,10,Winter
12,Pineapple Juice,Soft Drinks,36,109,28,Winter
12,Pink Gin,Spirits,33,457,16,Winter
12,Pinot Grigio,Wine,36,349,18,Winter
12,Prosecco,Wine,41,339,26,Winter
12,Rijoca,Wine,20,370,4,Winter
12,Sauvignon Blanc,Wine,42,369,38,Winter
12,St Germain,Spirits,39,283,23,Winter
12,Tanqueray 10,Spirits,25,111,6,Winter
12,Tonic Water,Soft Drinks,6,118,0,Winter
13,Apple Juice,Soft Drinks,7,347,0,Spring
13,Bacardi Blanco,Spirits,29,335,22,Spring
13,Bira Moretti,Beer,21,202,14,Spring
13,Bombay Gin,Spirits,31,346,14,Spring
13,Captain Morgan Spiced Rum,Spirits,21,161,16,Spring
13,Chardonnay,Wine,24,217,4,Spring
13,Coca Cola,Soft Drinks,31,467,12,Spring
13,Coke Zero,Soft Drinks,49,271,37,Spring
13,Cointreau,Spirits,38,390,22,Spring
13,Corona,Beer,40,118,33,Spring
13,Cranberry Juice,Soft Drinks,44,353,37,Spring
13,Dalmore 12,Spirits,19,152,19,Spring
13,Diet Coke,Soft Drinks,8,102,7,Spring
13,Disaronno,Spirits,6,353,0,Spring
13,Havana Club 3,Spirits,10,437,7,Spring
13,Havana Club 7,Spirits,43,132,29,Spring
13,High Commissioner,Spirits,26,273,14,Spring
13,Irn Bru,Soft Drinks,16,297,8,Spring
13,J20,Soft Drinks,26,316,16,Spring
13,Jack Daniels,Spirits,29,168,28,Spring
13,Kahlua,Spirits,15,202,5,Spring
13,Lemonade,Soft Drinks,15,145,4,Spring
13,Light Tonic,Soft Drinks,30,226,13,Spring
13,Limoncello,Spirits,37,287,37,Spring
13,Macallan 12,Spirits,13,119,6,Spring
13,Malbec,Wine,43,288,40,Spring
13,Martini Rosso,Spirits,30,463,29,Spring
13,Merlot,Wine,24,434,22,Spring
13,Moet,Wine,22,404,10,Spring
13,Orange Juice,Soft Drinks,13,300,4,Spring
13,Passoa,Spirits,41,359,35,Spring
13,Peroni,Beer,24,467,11,Spring
13,Pineapple Juice,Soft Drinks,49,405,42,Spring
13,Pink Gin,Spirits,9,461,0,Spring
13,Pinot Grigio,Wine,41,360,24,Spring
13,Prosecco,Wine,17,182,1,Spring
13,Rijoca,Wine,7,479,0,Spring
13,Sauvignon Blanc,Wine,27,197,10,Spring
13,St Germain,Spirits,22,165,13,Spring
13,Tanqueray 10,Spirits,28,132,12,Spring
13,Tonic Water,Soft Drinks,45,291,28,Spring
14,Apple Juice,Soft Drinks,22,444,20,Spring
14,Bacardi Blanco,Spirits,20,500,18,Spring
14,Bira Moretti,Beer,7,113,0,Spring
14,Bombay Gin,Spirits,27,352,17,Spring
14,Captain Morgan Spiced Rum,Spirits,48,307,29,Spring
14,Chardonnay,Wine,20,254,10,Spring
14,Coca Cola,Soft Drinks,11,312,8,Spring
14,Coke Zero,Soft Drinks,24,324,24,Spring
14,Cointreau,Spirits,30,467,10,Spring
14,Corona,Beer,20,327,6,Spring
14,Cranberry Juice,Soft Drinks,40,238,39,Spring
14,Dalmore 12,Spirits,47,142,40,Spring
14,Diet Coke,Soft Drinks,17,183,14,Spring
14,Disaronno,Spirits,16,479,5,Spring
14,Havana Club 3,Spirits,31,195,20,Spring
14,Havana Club 7,Spirits,24,300,9,Spring
14,High Commissioner,Spirits,30,287,28,Spring
14,Irn Bru,Soft Drinks,39,152,38,Spring
14,J20,Soft Drinks,26,206,6,Spring
14,Jack Daniels,Spirits,50,338,37,Spring
14,Kahlua,Spirits,48,406,33,Spring
14,Lemonade,Soft Drinks,42,471,26,Spring
14,Light Tonic,Soft Drinks,45,480,28,Spring
14,Limoncello,Spirits,10,145,0,Spring
14,Macallan 12,Spirits,6,210,0,Spring
14,Malbec,Wine,16,463,2,Spring
14,Martini Rosso,Spirits,25,440,18,Spring
14,Merlot,Wine,44,408,40,Spring
14,Moet,Wine,33,262,27,Spring
14,Orange Juice,Soft Drinks,45,488,35,Spring
14,Passoa,Spirits,6,141,3,Spring
